CustomerID,recency,frequency,monetary,customer_segment
16843,64,16,10955.63,Potential
15078,29,32,10941.46,Champion
17107,55,6,10815.43,Loyal
17850,394,34,10782.42,"At Risk"
13340,67,7,10736.48,Potential
17139,37,12,10668.47,Loyal
15251,31,11,10484.99,Loyal
12683,26,15,10271.79,Champion
16180,122,8,10254.18,"At Risk"
13090,30,14,10221.98,Champion
16523,23,21,10162.37,Champion
15358,26,22,10116.49,Champion
15044,41,17,10102.38,Loyal
14527,24,55,10094.71,Champion
17243,23,26,9962.50,Champion
16033,27,20,9870.19,Champion
12590,233,2,9864.26,"At Risk"
13969,29,18,9716.77,Champion
17306,32,19,9704.25,Loyal
16558,22,20,9520.32,Champion
15194,25,15,9507.07,Champion
15601,33,14,9446.84,Loyal
13854,30,25,9368.91,Champion
16656,44,15,9364.84,Loyal
14796,23,17,9345.05,Champion
16873,26,6,9281.26,Loyal
14367,30,16,9261.52,Champion
18109,23,26,9088.39,Champion
12472,54,7,9028.77,Loyal
15465,41,18,9006.82,Loyal
12539,44,4,9000.05,Potential
12980,179,9,8986.14,"At Risk"
14849,43,25,8957.27,Loyal
13225,25,7,8934.28,Loyal
12583,24,15,8867.40,Champion
12766,25,7,8825.40,Loyal
14952,81,11,8785.65,Potential
16532,39,3,8659.20,Potential
18055,29,10,8535.31,Champion
15290,26,18,8497.32,Champion
17811,26,39,8469.95,Champion
13629,45,11,8452.36,Loyal
18139,39,6,8438.34,Loyal
13027,135,6,8352.00,"At Risk"
18229,33,20,8290.00,Loyal
16814,36,21,8278.91,Loyal
14961,32,9,8227.38,Loyal
14056,23,23,8214.65,Champion
17338,39,8,8182.28,Loyal
16923,34,19,8163.31,Loyal
14936,55,8,8137.02,Loyal
16672,24,20,8134.94,Champion
12474,39,18,7975.59,Loyal
12428,47,9,7956.46,Loyal
12989,25,15,7936.61,Champion
12626,45,9,7894.58,Loyal
12757,37,13,7857.10,Loyal
13102,23,24,7855.07,Champion
15023,25,11,7840.66,Champion
12435,101,2,7829.89,"At Risk"
13324,58,10,7772.05,Loyal
16353,25,23,7733.31,Champion
15032,278,3,7729.70,"At Risk"
17396,61,8,7728.30,Potential
12705,37,9,7726.29,Loyal
15694,22,14,7724.52,Champion
13418,33,18,7707.05,Loyal
13576,32,18,7690.17,Loyal
16713,40,15,7681.67,Loyal
14060,26,19,7669.22,Champion
12431,57,15,7646.08,Loyal
18223,26,14,7641.53,Champion
12755,302,2,7606.35,"At Risk"
13263,23,35,7595.73,Champion
18172,36,20,7561.68,Loyal
12637,89,8,7538.58,Potential
16767,52,11,7446.62,Loyal
16746,26,18,7400.40,Champion
13050,36,17,7359.82,Loyal
16553,185,12,7329.26,"At Risk"
13018,38,28,7277.70,Loyal
14505,39,8,7273.05,Loyal
15727,38,7,7270.56,Loyal
16729,60,21,7239.92,Loyal
16745,108,17,7194.30,"At Risk"
14057,45,17,7143.88,Loyal
13097,54,10,7086.61,Loyal
13985,26,15,7060.13,Champion
14415,23,13,7011.06,Champion
12481,44,10,6990.75,Loyal
12798,32,3,6977.04,Potential
14735,25,32,6972.09,Champion
17858,27,12,6937.26,Champion
15005,37,28,6928.03,Loyal
17315,23,38,6923.50,Champion
12359,79,4,6920.08,Potential
16187,53,15,6911.44,Loyal
13468,23,37,6907.82,Champion
17416,51,7,6893.42,Loyal
15939,111,15,6877.07,"At Risk"
12476,37,11,6828.87,Loyal
12830,59,6,6814.64,Loyal
13709,25,13,6802.75,Champion
16652,80,7,6773.97,Potential
13668,24,21,6749.81,Champion
14101,95,6,6728.39,"At Risk"
13534,24,25,6720.23,Champion
15808,328,4,6718.74,"At Risk"
14049,38,4,6713.55,Potential
15249,53,13,6688.46,Loyal
17809,38,12,6663.41,Loyal
13004,33,18,6658.30,Loyal
16191,24,13,6655.74,Champion
16182,94,4,6617.65,"At Risk"
15144,30,17,6580.44,Champion
14329,39,7,6562.42,Loyal
18118,32,26,6553.13,Loyal
14135,23,15,6502.22,Champion
17937,30,7,6455.10,Loyal
17757,23,30,6450.04,Champion
15093,40,6,6441.15,Loyal
12720,24,25,6438.86,Champion
13178,48,11,6435.47,Loyal
13871,44,13,6403.25,Loyal
17230,286,8,6398.42,"At Risk"
16985,39,10,6397.44,Loyal
15379,191,7,6385.38,"At Risk"
14688,29,21,6378.07,Champion
16161,23,19,6352.11,Champion
15299,89,7,6342.02,Potential
17690,52,15,6341.35,Loyal
13013,23,13,6339.28,Champion
15218,32,11,6338.55,Loyal
12839,24,14,6328.87,Champion
13209,52,8,6321.81,Loyal
16265,31,9,6287.81,Loyal
16126,51,4,6287.77,Potential
12490,27,10,6282.15,Champion
16701,30,13,6241.18,Champion
13941,43,5,6208.08,Loyal
12357,55,1,6207.67,"At Risk"
14180,32,25,6204.87,Loyal
13756,24,14,6193.92,Champion
14085,24,18,6192.23,Champion
16303,47,3,6187.81,Potential
17509,79,8,6115.14,Potential
13680,23,4,6114.01,Potential
14800,69,12,6097.58,Potential
15291,47,15,6040.49,Loyal
15514,34,11,6024.17,Loyal
13269,23,15,6008.40,Champion
15046,31,15,5983.97,Loyal
13316,59,4,5977.73,Potential
15547,29,14,5960.88,Champion
15382,36,6,5955.71,Loyal
16700,30,13,5921.85,Champion
14944,51,12,5900.25,Loyal
15805,45,17,5899.28,Loyal
13599,23,21,5875.65,Champion
17602,24,6,5870.02,Loyal
15555,34,16,5794.99,Loyal
15301,72,12,5743.72,Potential
17686,29,7,5739.46,Loyal
15034,37,8,5734.96,Loyal
18198,26,17,5726.10,Champion
15570,29,12,5717.86,Champion
14110,25,12,5683.15,Champion
12484,54,6,5680.39,Loyal
15298,24,12,5672.98,Champion
17049,24,9,5659.98,Loyal
17716,44,11,5655.99,Loyal
18226,66,11,5645.35,Potential
14709,37,13,5643.09,Loyal
17730,25,13,5609.96,Champion
14189,24,15,5604.86,Champion
17365,34,8,5544.22,Loyal
12664,30,9,5543.46,Loyal
17975,37,13,5542.18,Loyal
18225,25,12,5539.12,Champion
14299,30,9,5531.56,Loyal
16722,39,13,5530.33,Loyal
14755,31,11,5498.74,Loyal
12347,24,7,5497.18,Loyal
16609,37,7,5493.46,Loyal
15719,54,13,5478.65,Loyal
15738,40,16,5458.57,Loyal
13267,24,19,5455.46,Champion
14146,30,5,5432.43,Loyal
13069,22,24,5421.18,Champion
12370,73,4,5413.71,Potential
17719,59,15,5396.04,Loyal
12437,23,18,5344.11,Champion
18041,33,21,5340.61,Loyal
14439,341,1,5322.48,"At Risk"
15150,39,10,5314.47,Loyal
17061,95,11,5232.23,"At Risk"
12362,25,10,5226.23,Champion
12747,24,11,5205.32,Champion
16258,67,5,5203.51,Potential
16931,27,21,5184.04,Champion
15903,31,7,5126.76,Loyal
13124,111,3,5122.65,"At Risk"
12712,50,13,5117.41,Loyal
17920,26,17,5099.86,Champion
14016,183,4,5094.95,"At Risk"
12356,44,3,5083.05,Potential
14562,25,18,5074.77,Champion
13139,38,7,5064.94,Loyal
12432,64,5,5059.32,Potential
14525,41,9,5059.15,Loyal
17611,29,15,5047.29,Champion
13815,44,4,5039.37,Potential
17426,30,6,5037.26,Loyal
12429,31,4,5031.90,Potential
12444,43,5,5005.46,Loyal
16327,36,6,5002.44,Loyal
14092,29,14,4997.14,Champion
15955,46,14,4988.64,Loyal
17068,34,21,4953.59,Loyal
12700,29,4,4939.99,Potential
15786,68,3,4932.20,Potential
17419,33,12,4931.04,Loyal
13174,38,3,4925.30,Potential
12841,26,25,4922.13,Champion
17364,22,11,4917.41,Champion
12647,44,12,4916.42,Loyal
17133,37,7,4892.24,Loyal
14159,41,11,4886.23,Loyal
17377,45,20,4886.00,Loyal
14390,32,9,4876.52,Loyal
16670,38,11,4874.41,Loyal
12688,135,1,4873.81,"At Risk"
15296,72,6,4872.19,Potential
14292,29,9,4871.93,Loyal
17652,47,12,4867.72,Loyal
17567,29,8,4849.43,Loyal
14739,26,7,4845.72,Loyal
12779,59,8,4842.74,Loyal
12524,31,8,4823.11,Loyal
14534,24,18,4802.17,Champion
15187,23,16,4777.18,Champion
17001,22,11,4762.46,Champion
12955,23,11,4757.16,Champion
15867,27,15,4749.76,Champion
15152,31,13,4745.69,Loyal
17091,24,9,4715.91,Loyal
12714,31,5,4708.86,Loyal
17819,93,7,4684.99,"At Risk"
14191,23,13,4684.76,Champion
14286,45,3,4628.75,Potential
16945,43,19,4625.35,Loyal
13520,80,6,4612.87,Potential
16019,68,9,4610.39,Potential
16655,39,6,4606.77,Loyal
14401,26,13,4603.60,Champion
12500,45,11,4602.76,Loyal
13802,160,3,4599.42,"At Risk"
17593,25,5,4590.24,Loyal
16401,23,12,4586.22,Champion
13198,32,6,4585.98,Loyal
13183,29,9,4582.82,Loyal
14004,65,7,4582.64,Potential
15529,44,11,4566.12,Loyal
17613,44,14,4559.15,Loyal
13523,55,5,4531.83,Loyal
14040,62,12,4528.97,Potential
13999,32,12,4511.51,Loyal
12727,32,7,4495.20,Loyal
14426,45,10,4481.67,Loyal
16984,110,2,4481.35,"At Risk"
12627,32,7,4478.53,Loyal
16145,30,11,4468.33,Champion
14907,25,7,4461.79,Loyal
12957,31,8,4431.22,Loyal
16626,22,17,4413.10,Champion
15874,85,7,4405.88,Potential
12578,43,2,4403.17,Potential
17406,355,3,4400.84,"At Risk"
12625,233,2,4400.44,"At Risk"
12867,48,7,4399.61,Loyal
13505,94,4,4393.63,"At Risk"
12553,30,10,4392.59,Champion
17769,34,10,4374.29,Loyal
13327,60,8,4372.77,Loyal
13448,38,6,4368.91,Loyal
12752,103,1,4366.78,"At Risk"
12501,358,1,4338.78,"At Risk"
13758,33,7,4331.80,Loyal
18251,109,1,4314.72,"At Risk"
16186,44,12,4314.62,Loyal
14282,25,15,4300.34,Champion
16904,26,16,4285.23,Champion
13426,22,10,4280.75,Champion
12668,33,4,4277.02,Potential
16549,32,10,4274.13,Loyal
14565,117,4,4266.53,"At Risk"
14307,110,6,4266.28,"At Risk"
12417,25,9,4263.88,Loyal
14422,22,6,4263.64,Loyal
17238,24,17,4253.29,Champion
14702,23,17,4251.54,Champion
14277,37,3,4216.20,Potential
12643,150,6,4215.84,"At Risk"
15804,22,13,4206.39,Champion
15971,39,12,4199.85,Loyal
14395,24,9,4197.07,Loyal
17491,23,10,4191.79,Champion
16168,32,27,4191.10,Loyal
14543,50,16,4188.53,Loyal
17722,118,4,4167.62,"At Risk"
12949,52,8,4167.22,Loyal
16717,45,6,4165.63,Loyal
13384,52,7,4151.93,Loyal
13555,95,4,4149.28,"At Risk"
13988,41,6,4147.96,Loyal
15708,62,7,4146.69,Potential
12569,24,32,4124.69,Champion
16592,26,16,4113.68,Champion
12662,22,11,4111.26,Champion
17940,71,10,4106.44,Potential
12480,50,4,4097.88,Potential
12749,25,5,4090.88,Loyal
12449,44,4,4067.29,Potential
17799,44,10,4066.64,Loyal
17576,30,19,4063.50,Champion
18087,120,2,4055.72,"At Risk"
13552,88,12,4053.77,Potential
12656,39,5,4051.17,Loyal
13148,51,12,4016.52,Loyal
17685,38,7,4016.05,Loyal
13953,29,7,4015.68,Loyal
15845,39,8,4015.13,Loyal
12378,151,1,4008.62,"At Risk"
14547,25,8,4007.54,Loyal
15581,142,13,4005.93,"At Risk"
16754,394,1,4004.80,"At Risk"
16607,39,14,4002.53,Loyal
13842,80,9,3999.19,Potential
13082,148,9,3993.07,"At Risk"
15416,86,4,3984.32,Potential
15998,58,5,3953.36,Loyal
17651,33,10,3945.00,Loyal
12473,51,5,3938.55,Loyal
16003,51,5,3916.37,Loyal
15544,31,9,3901.25,Loyal
17188,33,7,3898.67,Loyal
14291,23,11,3883.25,Champion
18073,136,12,3877.52,"At Risk"
15195,24,1,3861.00,"At Risk"
12916,160,4,3854.00,"At Risk"
15485,52,3,3853.63,Potential
15673,110,4,3850.97,"At Risk"
13266,33,12,3834.26,Loyal
17059,51,5,3817.40,Loyal
12597,41,4,3811.22,Potential
13435,27,7,3809.89,Loyal
13993,64,9,3789.51,Potential
12562,30,7,3781.74,Loyal
16011,30,16,3768.81,Champion
17173,27,8,3766.60,Loyal
14221,64,9,3745.75,Potential
14145,68,4,3742.20,Potential
16570,37,10,3738.40,Loyal
12502,117,5,3723.87,"At Risk"
14099,38,11,3722.31,Loyal
14257,86,5,3719.86,Potential
16240,46,2,3718.80,Potential
17213,62,7,3718.18,Potential
14364,130,8,3717.35,"At Risk"
17838,48,5,3714.86,Loyal
15622,65,9,3709.56,Potential
12395,41,12,3698.55,Loyal
14841,75,6,3690.92,Potential
16253,88,2,3683.86,Potential
12594,59,10,3679.22,Loyal
16458,24,18,3676.64,Champion
15443,23,7,3674.62,Loyal
14639,74,6,3661.03,Potential
18079,67,4,3651.97,Potential
13137,32,8,3650.41,Loyal
16712,31,11,3645.43,Loyal
12619,38,9,3641.24,Loyal
16440,29,5,3640.67,Loyal
13381,53,6,3639.31,Loyal
17528,23,8,3628.50,Loyal
16556,88,7,3624.64,Potential
15505,74,5,3610.96,Potential
15113,31,3,3609.33,Potential
13047,53,10,3604.17,Loyal
16242,30,7,3603.21,Loyal
13742,38,12,3600.20,Loyal
14032,24,11,3595.01,Champion
15484,23,4,3594.31,Potential
14132,24,11,3586.03,Champion
17231,34,10,3573.01,Loyal
17203,57,6,3563.85,Loyal
16218,51,7,3555.98,Loyal
18144,29,12,3548.80,Champion
14175,81,3,3544.88,Potential
17863,81,6,3544.72,Potential
14440,30,5,3543.39,Loyal
14503,25,6,3543.26,Loyal
13334,104,3,3536.82,"At Risk"
12454,78,1,3528.34,"At Risk"
14388,32,8,3525.64,Loyal
17160,53,6,3518.03,Loyal
17220,46,14,3515.75,Loyal
15696,55,8,3513.97,Loyal
16360,26,6,3512.53,Loyal
16131,73,6,3506.54,Potential
15179,40,5,3492.57,Loyal
16326,27,14,3481.51,Champion
12782,26,5,3478.35,Loyal
16497,71,6,3478.07,Potential
17739,33,7,3473.94,Loyal
13014,32,10,3466.28,Loyal
17758,41,8,3456.70,Loyal
16477,85,7,3456.17,Potential
15410,106,8,3450.84,"At Risk"
13536,23,7,3448.29,Loyal
15129,72,11,3447.40,Potential
15974,61,7,3442.15,Potential
17725,38,11,3439.08,Loyal
17504,228,9,3438.18,"At Risk"
15676,40,3,3435.76,Potential
18260,194,6,3430.97,"At Risk"
13869,145,4,3428.57,"At Risk"
16686,69,7,3427.81,Potential
13769,24,10,3422.83,Champion
15854,26,12,3418.95,Champion
12406,44,2,3415.30,Potential
15981,46,8,3408.48,Loyal
13437,36,7,3408.06,Loyal
17669,64,7,3406.72,Potential
14243,30,10,3389.17,Champion
12764,338,1,3387.76,"At Risk"
15228,88,4,3386.71,Potential
13451,48,5,3377.64,Loyal
16618,53,5,3375.75,Loyal
17965,59,14,3368.92,Loyal
17659,39,12,3359.41,Loyal
16905,27,7,3356.83,Loyal
18097,29,6,3354.98,Loyal
14227,48,10,3350.96,Loyal
16818,32,11,3349.57,Loyal
17183,29,6,3347.31,Loyal
15687,30,9,3346.60,Loyal
13015,75,5,3346.28,Potential
18077,30,11,3344.47,Champion
12613,79,5,3344.38,Potential
16393,24,13,3337.76,Champion
17744,25,6,3330.80,Loyal
15332,388,4,3322.12,"At Risk"
12967,380,2,3321.80,"At Risk"
13880,43,13,3317.57,Loyal
15235,239,12,3316.35,"At Risk"
17655,32,7,3315.04,Loyal
14713,31,11,3314.45,Loyal
13373,82,3,3312.25,Potential
12585,256,2,3302.95,"At Risk"
16255,38,8,3293.76,Loyal
17069,50,9,3292.90,Loyal
15632,37,8,3285.31,Loyal
15764,110,6,3279.97,"At Risk"
17723,149,6,3276.40,"At Risk"
17827,27,5,3267.26,Loyal
13983,51,12,3263.37,Loyal
12377,337,2,3256.24,"At Risk"
13952,239,2,3251.07,"At Risk"
16316,86,8,3247.13,Potential
17924,33,7,3241.50,Loyal
16143,25,6,3236.29,Loyal
17050,118,6,3228.84,"At Risk"
15606,83,9,3225.76,Potential
14334,38,8,3224.78,Loyal
17596,45,7,3220.55,Loyal
13268,39,11,3214.69,Loyal
12388,37,6,3211.96,Loyal
17402,26,13,3205.72,Champion
17449,24,7,3205.12,Loyal
16107,39,7,3204.16,Loyal
16782,32,13,3197.49,Loyal
12708,51,10,3193.97,Loyal
13868,29,2,3192.54,Potential
14844,85,4,3189.81,Potential
15628,26,9,3189.42,Loyal
12456,66,3,3181.04,Potential
12726,50,7,3180.96,Loyal
17672,72,2,3178.17,Potential
16837,53,11,3170.98,Loyal
14572,25,7,3168.47,Loyal
16041,52,3,3166.40,Potential
15861,34,8,3165.36,Loyal
15373,30,12,3164.36,Champion
15065,59,4,3158.13,Potential
15033,26,10,3156.74,Champion
17634,58,9,3147.62,Loyal
14544,46,2,3146.37,Potential
14235,97,5,3144.86,"At Risk"
18075,45,10,3143.78,Loyal
16919,178,11,3136.46,"At Risk"
15356,53,10,3132.04,Loyal
17787,174,4,3131.38,"At Risk"
14659,30,9,3123.10,Loyal
16156,30,9,3122.04,Loyal
13685,24,7,3119.44,Loyal
15281,80,9,3112.57,Potential
16678,24,12,3109.99,Champion
12383,206,5,3102.44,"At Risk"
15491,117,6,3100.09,"At Risk"
17211,48,8,3096.93,Loyal
13135,218,1,3096.00,"At Risk"
14290,33,5,3092.21,Loyal
13362,31,4,3090.74,Potential
13901,94,5,3081.60,"At Risk"
18272,24,6,3078.58,Loyal
12910,45,8,3075.04,Loyal
13631,121,11,3070.42,"At Risk"
15984,24,10,3068.26,Champion
14107,73,7,3066.47,Potential
16928,102,17,3065.10,"At Risk"
14456,27,9,3062.40,Loyal
13230,26,14,3056.06,Champion
16940,74,3,3049.88,Potential
16241,31,13,3045.90,Loyal
14030,40,8,3036.59,Loyal
12483,39,8,3032.54,Loyal
16709,106,5,3029.87,"At Risk"
12598,31,8,3023.08,Loyal
15157,25,3,3021.53,Potential
18094,103,7,3017.30,"At Risk"
12754,257,3,3010.74,"At Risk"
15527,40,8,3010.08,Loyal
16710,41,10,3008.01,Loyal
15521,62,8,3000.20,Potential
12670,32,5,2996.05,Loyal
16081,78,5,2964.50,Potential
16735,100,5,2960.92,"At Risk"
14868,25,8,2953.59,Loyal
16912,50,11,2952.68,Loyal
17084,57,2,2949.75,Potential
13564,166,3,2947.40,"At Risk"
14701,32,9,2945.82,Loyal
16456,121,5,2945.77,"At Risk"
12721,53,6,2942.73,Loyal
17591,95,7,2942.00,"At Risk"
17444,169,3,2940.04,"At Risk"
18245,29,7,2932.79,Loyal
14530,47,6,2925.91,Loyal
17512,50,10,2924.99,Loyal
17346,25,15,2924.40,Champion
12906,33,5,2919.81,Loyal
12348,97,4,2917.48,"At Risk"
14112,44,7,2915.15,Loyal
13141,106,5,2913.32,"At Risk"
14045,131,4,2911.50,"At Risk"
13495,29,5,2910.30,Loyal
12438,36,2,2906.85,Potential
14732,30,8,2905.59,Loyal
12913,26,5,2901.25,Loyal
15752,61,7,2897.03,Potential
17644,23,11,2895.64,Champion
12408,54,5,2888.55,Loyal
13735,46,4,2885.24,Potential
16633,39,6,2883.10,Loyal
14251,23,5,2879.70,Loyal
17728,25,3,2876.01,Potential
14005,31,5,2874.72,Loyal
12600,50,10,2873.84,Loyal
15271,29,15,2871.92,Champion
14711,32,11,2868.80,Loyal
17682,32,6,2865.83,Loyal
14535,82,3,2864.19,Potential
12685,50,6,2863.08,Loyal
18145,34,4,2861.55,Potential
16550,130,5,2853.63,"At Risk"
14852,80,6,2836.69,Potential
18061,43,10,2828.59,Loyal
14842,65,4,2824.69,Potential
16871,44,6,2812.34,Loyal
14903,43,5,2810.63,Loyal
18230,31,7,2810.20,Loyal
15750,24,8,2806.00,Loyal
16764,25,13,2799.25,Champion
14560,29,22,2798.19,Champion
15993,30,7,2797.57,Loyal
12758,138,2,2791.59,"At Risk"
14626,45,4,2791.27,Potential
14121,25,4,2780.15,Potential
13982,61,4,2775.61,Potential
13021,26,9,2773.73,Loyal
15394,31,4,2771.20,Potential
13870,24,8,2770.94,Loyal
15114,52,10,2760.56,Loyal
14854,100,7,2759.83,"At Risk"
13971,40,8,2758.26,Loyal
15321,92,3,2748.31,"At Risk"
12669,172,3,2744.03,"At Risk"
14808,61,8,2741.17,Potential
14125,32,3,2740.43,Potential
18065,27,14,2737.85,Champion
16938,30,4,2736.38,Potential
17218,26,10,2736.35,Champion
12840,165,4,2726.77,"At Risk"
14409,93,6,2725.55,"At Risk"
12380,43,4,2724.81,Potential
14828,218,3,2721.76,"At Risk"
17954,27,12,2715.94,Champion
18259,46,3,2714.90,Potential
14215,33,6,2711.83,Loyal
15796,23,8,2711.56,Loyal
13285,45,4,2709.12,Potential
13654,65,6,2707.33,Potential
17386,29,6,2686.42,Loyal
17530,23,10,2685.64,Champion
13883,32,5,2674.48,Loyal
13246,40,6,2670.41,Loyal
16743,51,7,2668.37,Loyal
14696,26,7,2667.20,Loyal
12360,74,3,2662.06,Potential
15811,44,6,2657.42,Loyal
15671,40,7,2657.13,Loyal
14766,30,6,2653.77,Loyal
14466,51,7,2652.15,Loyal
13851,117,3,2651.46,"At Risk"
13126,26,8,2646.95,Loyal
17082,55,2,2640.79,Potential
13658,31,5,2639.17,Loyal
13804,52,7,2635.79,Loyal
15549,99,3,2635.36,"At Risk"
13862,40,8,2634.46,Loyal
13771,86,4,2634.45,Potential
12520,101,5,2634.26,"At Risk"
16293,43,10,2627.74,Loyal
13422,86,1,2626.30,"At Risk"
13644,38,4,2624.26,Potential
14825,25,12,2623.34,Champion
15983,44,4,2623.29,Potential
18210,23,6,2621.38,Loyal
14978,94,5,2620.96,"At Risk"
15057,297,2,2620.50,"At Risk"
13659,227,2,2618.60,"At Risk"
14262,30,8,2618.23,Loyal
13328,338,1,2616.96,"At Risk"
15782,31,3,2614.74,Potential
14397,24,19,2612.96,Champion
12836,81,4,2612.86,Potential
13831,38,6,2610.99,Loyal
13136,78,5,2607.61,Potential
17368,45,8,2606.67,Loyal
14408,32,7,2606.53,Loyal
17191,50,7,2605.24,Loyal
17317,68,3,2600.34,Potential
13593,130,5,2596.93,"At Risk"
13895,50,4,2593.07,Potential
12935,24,7,2592.33,Loyal
13911,79,9,2580.91,Potential
16244,233,2,2579.38,"At Risk"
15171,353,1,2579.00,"At Risk"
14546,27,5,2578.09,Loyal
13784,31,11,2576.43,Loyal
14210,127,6,2574.45,"At Risk"
15518,86,8,2573.10,Potential
15370,62,7,2570.25,Potential
16308,59,4,2560.00,Potential
17400,148,5,2554.13,"At Risk"
15572,26,7,2552.86,Loyal
14472,125,8,2550.98,"At Risk"
14676,53,6,2548.24,Loyal
13344,89,3,2543.72,Potential
16771,55,5,2543.47,Loyal
14239,65,11,2540.45,Potential
14776,73,11,2538.30,Potential
15002,137,4,2534.91,"At Risk"
17700,38,4,2534.64,Potential
13471,23,4,2531.58,Potential
17314,46,8,2527.92,Loyal
13975,53,6,2526.28,Loyal
15365,47,7,2522.93,Loyal
13394,23,8,2520.02,Loyal
14341,67,8,2517.91,Potential
15245,156,3,2515.84,"At Risk"
13317,88,6,2511.73,Potential
12352,58,8,2506.04,Loyal
13695,53,15,2504.13,Loyal
12517,50,5,2502.84,Loyal
14309,30,9,2500.28,Loyal
15932,26,8,2495.87,Loyal
14315,66,6,2481.13,Potential
13507,25,4,2479.16,Potential
13588,37,9,2478.95,Loyal
15288,65,5,2472.17,Potential
14502,41,11,2470.67,Loyal
17164,54,7,2467.35,Loyal
12455,95,6,2466.86,"At Risk"
16875,89,5,2464.33,Potential
17131,27,5,2463.17,Loyal
17696,60,8,2461.31,Loyal
18219,24,10,2459.83,Champion
12928,57,5,2455.04,Loyal
15674,95,5,2446.60,"At Risk"
16150,64,5,2446.44,Potential
14163,109,4,2445.91,"At Risk"
13162,144,4,2441.55,"At Risk"
16098,109,7,2436.23,"At Risk"
16954,22,9,2431.88,Loyal
17071,50,9,2429.03,Loyal
13949,24,6,2427.32,Loyal
18239,240,5,2424.03,"At Risk"
14209,32,6,2421.38,Loyal
13700,48,10,2421.13,Loyal
15089,32,6,2420.84,Loyal
18179,31,6,2416.07,Loyal
14810,62,11,2414.87,Potential
12397,57,2,2409.90,Potential
17589,82,4,2404.17,Potential
